class,text
notdetected,"simplistic , silly and tedious . "
notdetected,"it's so laddish and juvenile , only teenage boys could possibly find it funny . "
notdetected,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . 
notdetected,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . "
notdetected,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . 
notdetected,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . "
notdetected,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . 
notdetected,not so much farcical as sour . 
notdetected,unfortunately the story and the actors are served with a hack script . 
notdetected,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . "
notdetected,a sentimental mess that never rings true . 
notdetected,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . "
notdetected,"interesting , but not compelling . "
notdetected,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire . "
notdetected,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . "
notdetected,there is a difference between movies with the courage to go over the top and movies that don't care about being stupid
notdetected,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah . "
notdetected,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us  the skulls  and last year's  rollerball .  enough said , except : film overboard ! "
notdetected,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . "
notdetected,this 100-minute movie only has about 25 minutes of decent material . 
notdetected,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . 
notdetected,"on its own , it's not very interesting . as a remake , it's a pale imitation . "
notdetected,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . 
notdetected,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . "
notdetected,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . "
notdetected,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . 
notdetected,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie . '
notdetected,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . . "
notdetected,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . "
notdetected,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's  waking up in reno .  go back to sleep . "
notdetected,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates . "
notdetected,the action clichés just pile up . 
notdetected,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . "
notdetected,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . 
notdetected,another useless recycling of a brutal mid-'70s american sports movie . 
notdetected,i didn't laugh . i didn't smile . i survived . 
notdetected,"please , someone , stop eric schaeffer before he makes another film . "
notdetected,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved"
notdetected," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . "
notdetected,curling may be a unique sport but men with brooms is distinctly ordinary . 
notdetected,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set . "
notdetected,there's no getting around the fact that this is revenge of the nerds revisited -- again . 
notdetected,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable . "
notdetected,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . "
notdetected,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins . "
notdetected,"stinks from start to finish , like a wet burlap sack of gloom . "
notdetected,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . "
notdetected,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . 
notdetected,the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . 
notdetected,everything is off . 
notdetected,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '"
notdetected,"an easy watch , except for the annoying demeanour of its lead character . "
notdetected,"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes . "
notdetected,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion . "
notdetected,"forget the misleading title , what's with the unexplained baboon cameo ? "
notdetected,"an odd , haphazard , and inconsequential romantic comedy . "
notdetected,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere . "
notdetected,"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest . "
notdetected,"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes . "
notdetected,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost . "
notdetected, . . . a pretentious and ultimately empty examination of a sick and evil woman . 
notdetected,"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either . "
notdetected,"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end . "
notdetected,the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach . 
notdetected,mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination . 
notdetected,only in its final surprising shots does rabbit-proof fence find the authority it's looking for . 
notdetected,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it . "
notdetected," . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried . "
notdetected,"maybe leblanc thought ,  hey , the movie about the baseball-playing monkey was worse .  "
notdetected,what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height . 
notdetected,barry sonnenfeld owes frank the pug big time
notdetected,"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything . "
notdetected,so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along . 
notdetected,"i approached the usher and said that if she had to sit through it again , she should ask for a raise . "
notdetected,earnest but heavy-handed . 
notdetected,if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over . 
notdetected,"too slow for a younger crowd , too shallow for an older one . "
notdetected,there's a reason the studio didn't offer an advance screening .  the adventures of pluto nash  is a big time stinker . 
notdetected,"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters . "
notdetected,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny . "
notdetected,the things this movie tries to get the audience to buy just won't fly with most intelligent viewers . 
notdetected,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest . "
notdetected,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house . 
notdetected,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve . "
notdetected,"deadly dull , pointless meditation on losers in a gone-to-seed hotel . "
notdetected,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment . "
notdetected,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off
notdetected,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms . "
notdetected,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti"
notdetected,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people . "
notdetected,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers . "
notdetected,the code talkers deserved better than a hollow tribute . 
notdetected,skip the film and buy the philip glass soundtrack cd . 
notdetected,feels like a cold old man going through the motions . 
notdetected,dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ? 
notdetected,"dull and mechanical , kinda like a very goofy museum exhibit"
notdetected,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity . "
notdetected,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental . 
notdetected,has its moments -- and almost as many subplots . 
notdetected,"the gags , and the script , are a mixed bag . "
notdetected,completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque . 
notdetected,"narratively , trouble every day is a plodding mess . "
notdetected,there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance . 
notdetected,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space . "
notdetected,"adam sandler's heart may be in the right place , but he needs to pull his head out of his butt"
notdetected,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted . "
notdetected,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast . "
notdetected,it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it . 
notdetected,the movie is a mess from start to finish . 
notdetected,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness . "
notdetected,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life . "
notdetected,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar . "
notdetected,"the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times"
notdetected,terminally brain dead production . 
